******Format of cpu stats log file: Date/Time     CPU Temp        Load Average    CPU Frequency   Governor***
Thu Apr 22 23:37:46 CDT 2010  53        12.12 11.75 7.18 12/228 8411        600000        userspace
Thu Apr 22 23:37:51 CDT 2010  53        11.94 11.72 7.22 12/228 8417        600000        userspace
Thu Apr 22 23:37:57 CDT 2010  53        11.86 11.71 7.24 12/228 8424        600000        userspace
Thu Apr 22 23:38:02 CDT 2010  53        11.79 11.70 7.26 14/228 8430        600000        userspace
Thu Apr 22 23:38:07 CDT 2010  53        11.73 11.69 7.28 13/228 8437        600000        userspace
Thu Apr 22 23:38:12 CDT 2010  53        11.59 11.66 7.29 12/228 8443        600000        userspace
Thu Apr 22 23:38:18 CDT 2010  53        11.54 11.65 7.31 12/228 8449        600000        userspace
Thu Apr 22 23:38:23 CDT 2010  53        11.42 11.62 7.33 13/228 8456        600000        userspace
Thu Apr 22 23:38:28 CDT 2010  53        11.39 11.61 7.35 12/228 8463        600000        userspace
Thu Apr 22 23:38:34 CDT 2010  53        11.35 11.60 7.37 13/227 8469        600000        userspace
Thu Apr 22 23:38:39 CDT 2010  53        11.33 11.59 7.39 13/227 8475        600000        userspace
Thu Apr 22 23:38:44 CDT 2010  53        11.22 11.56 7.40 13/227 8481        600000        userspace
Thu Apr 22 23:38:50 CDT 2010  53        11.12 11.54 7.41 12/227 8489        600000        userspace
Thu Apr 22 23:38:55 CDT 2010  53        11.03 11.51 7.43 12/227 8495        600000        userspace
Thu Apr 22 23:39:00 CDT 2010  53        11.11 11.52 7.45 12/227 8501        600000        userspace
Thu Apr 22 23:39:06 CDT 2010  53        11.02 11.49 7.47 12/227 8507        600000        userspace
Thu Apr 22 23:39:11 CDT 2010  53        11.02 11.48 7.48 12/227 8513        600000        userspace
Thu Apr 22 23:39:16 CDT 2010  53        11.18 11.51 7.51 11/227 8520        600000        userspace
Thu Apr 22 23:39:22 CDT 2010  53        11.53 11.57 7.58 12/227 8526        600000        userspace
Thu Apr 22 23:39:27 CDT 2010  53        11.57 11.58 7.60 13/227 8532        800000        userspace
Thu Apr 22 23:39:32 CDT 2010  53        11.60 11.59 7.62 13/227 8539        800000        userspace
Thu Apr 22 23:39:37 CDT 2010  53        11.55 11.58 7.64 12/227 8545        800000        userspace
Thu Apr 22 23:39:43 CDT 2010  53        11.43 11.55 7.65 14/226 8551        800000        userspace
Thu Apr 22 23:39:48 CDT 2010  53        11.71 11.61 7.69 14/226 8558        800000        userspace
Thu Apr 22 23:39:53 CDT 2010  53        11.98 11.66 7.73 15/226 8565        800000        userspace
Thu Apr 22 23:39:59 CDT 2010  53        12.38 11.75 7.78 15/226 8572        800000        userspace
Thu Apr 22 23:40:04 CDT 2010  53        12.27 11.74 7.80 13/226 8579        800000        userspace
Thu Apr 22 23:40:09 CDT 2010  53        12.25 11.74 7.82 13/226 8585        800000        userspace
Thu Apr 22 23:40:15 CDT 2010  53        12.23 11.75 7.84 15/226 8591        800000        userspace
Thu Apr 22 23:40:20 CDT 2010  53        12.13 11.73 7.86 13/227 8598        800000        userspace
Thu Apr 22 23:40:26 CDT 2010  53        12.04 11.72 7.88 14/227 8604        800000        userspace
Thu Apr 22 23:40:31 CDT 2010  53        12.19 11.76 7.91 12/227 8610        800000        userspace
Thu Apr 22 23:40:36 CDT 2010  53        12.10 11.75 7.93 13/227 8616        800000        userspace
Thu Apr 22 23:40:41 CDT 2010  53        12.33 11.80 7.96 13/227 8622        800000        userspace
Thu Apr 22 23:40:47 CDT 2010  53        12.20 11.79 8.00 14/228 8629        800000        userspace
Thu Apr 22 23:40:52 CDT 2010  53        12.02 11.76 8.01 14/228 8635        800000        userspace
Thu Apr 22 23:40:57 CDT 2010  53        11.86 11.73 8.02 14/228 8642        800000        userspace
Thu Apr 22 23:41:03 CDT 2010  53        11.71 11.70 8.03 12/228 8648        800000        userspace
Thu Apr 22 23:41:08 CDT 2010  53        11.57 11.67 8.04 13/228 8654        800000        userspace
Thu Apr 22 23:41:13 CDT 2010  53        11.45 11.65 8.05 13/228 8661        800000        userspace
Thu Apr 22 23:41:19 CDT 2010  53        11.41 11.64 8.07 12/228 8667        800000        userspace
